id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
73447,Italy,"Alluring aromas of Spanish broom, lemon and orchard fruit lead the nose while the juicy palate doles out mature peach, nectarine zest, toasted hazelnut and flinty mineral. Bright acidity lifts the rich flavors.",F,89,27.0,Southern Italy,Fiano di Avellino,,Kerin O’Keefe,@kerinokeefe,Di Meo 2015 F  (Fiano di Avellino),Fiano,Di Meo
62896,South Africa,"An immediately attractive wine with intense aromas of black raspberry, cherry and plum laced with toasted cedar and mocha accents. The texture is like crushed velvet, and the rich mouth filled with firm but fine-grain tannins. A touch of cola spice unwinds on the long finish. Drink now–2014.",Three Pines Unfined and Unfiltered,92,35.0,Jonkershoek Valley,,,Lauren Buzzeo,@laurbuzz,Stark-Condé 2007 Three Pines Unfined and Unfiltered Syrah (Jonkershoek Valley),Syrah,Stark-Condé
35212,Italy,"This structured red offers aromas of mature plum, wild berry, violet, exotic spice and a whiff of sunbaked earth. The chewy palate offers mature black cherry, mocha, licorice and clove alongside firm, fine-grained tannins. Drink through 2022.",Gran Selezione,91,55.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Luiano 2012 Gran Selezione  (Chianti Classico),Red Blend,Luiano
39754,US,"This estate-grown Pinot is still pretty rough and chewy, with earthy tannins that are chalky and drying. The fruit leans toward cranberry, with some vanilla flavors threaded in.",,85,25.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Sweet Cheeks 2012 Pinot Noir (Willamette Valley),Pinot Noir,Sweet Cheeks
106115,US,"This sweet and full-bodied wine was fortified and tastes rich, warm and bold. It has plummy aromas and flavors and a lingering finish.",Carmen,87,20.0,California,California,California Other,Jim Gordon,@gordone_cellars,Rosa d'Oro NV Carmen Red (California),Red Blend,Rosa d'Oro
101138,Italy,"This is gorgeous, offering intense and complex aromas of wild berry, violet, candied fruit, almond paste and garden herb. The mouthfeel is silky, long and penetrating.",Bachgart Riserva,91,30.0,Northeastern Italy,Alto Adige,,,,Tenuta Klaus Lentsch 2008 Bachgart Riserva Pinot Nero (Alto Adige),Pinot Nero,Tenuta Klaus Lentsch
65717,Germany,"While ripe and fruity on the nose, with notes of red berries and tropical fruit, this full-bodied Riesling is quite dry on the palate. It's a bit cloying in its fruity, floral perfume, but refreshing nonetheless, with a bright grapefruit finish.",Dürkheimer Abtsfronhof Trocken,87,28.0,Pfalz,,,Anna Lee C. Iijima,,Fitz-Ritter 2012 Dürkheimer Abtsfronhof Trocken Riesling (Pfalz),Riesling,Fitz-Ritter
127662,US,"Comprised of five Bordeaux grapes, this is buttery and round, with a fair streak of vanilla. It sports plump black-cherry and raspberry preserves, with polished tannins and highlights of fresh-cut tobacco.",,90,25.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Seven Hills 2009 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Seven Hills
94879,France,"There is a lightly toasty aroma here. On the palate, this wine is ripe, rich and full in the mouth.It has a smooth, creamy texture that is round while keeping plenty of room for acidity. This attractive wine should be drunk now.",Les Burdines,87,,Burgundy,Mâcon-Villages,,Roger Voss,@vossroger,Collin-Bourisset 2013 Les Burdines  (Mâcon-Villages),Chardonnay,Collin-Bourisset
90711,US,"Here is a lovely, dry evocation of the spicy, fragrant grape, with a vibrant mix of peach, apricot and papaya fruit flavors. The floral aromatics are inviting and varietally appropriate, without becoming so perfumed that it makes food pairing a challenge.",,92,26.0,Oregon,Umpqua Valley,Southern Oregon,Paul Gregutt,@paulgwine ,Paul O'Brien 2015 Gewürztraminer (Umpqua Valley),Gewürztraminer,Paul O'Brien
129608,Romania,"Hints of rose petals are a curious contrast to earthier scents of soil and beets on this full bodied, slightly chunky Romanian Merlot. Pleasant for everyday dining; flavors of charred wood and preserved plum would pair nicely with an assortment of smoked meats and cheeses.",Vitis Metamorfosis,84,15.0,Dealu Mare,,,Anna Lee C. Iijima,,Cramele Halewood 2009 Vitis Metamorfosis Merlot (Dealu Mare),Merlot,Cramele Halewood
113596,US,"Light in color and texture, with faint mushroom and earth tones and wispy swirls of cherry, this Pinot is silky with perceptible acidity and a finish of spicy mint. It's structured enough in body to pair beautifully with a range of food.",Perli Vineyard,89,44.0,California,Mendocino Ridge,,Virginie Boone,@vboone,Cartograph 2010 Perli Vineyard Pinot Noir (Mendocino Ridge),Pinot Noir,Cartograph
84962,Portugal,"The wine is fat and fruity, a bold statement of red berries that burst from the glass. It's fresh while also rich and structured. It's not going to age further, so drink now.",Special Selection,86,,Tejo,,,Roger Voss,@vossroger,Caves Dom Teodosio 2010 Special Selection Red (Tejo),Portuguese Red,Caves Dom Teodosio
79249,France,"Ripe and fruity, this has the right amount of structure to hold everything together. It's a bold, rounded wine, acidity layering red fruits and a darker tannic aftertaste. Drink from 2016.",,87,12.0,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Château du Barry 2012  Bordeaux,Bordeaux-style Red Blend,Château du Barry
102636,US,"A delicate but earthy nose shows aromas of hibiscus, pencil lead, sagebrush and bay leaf. The palate packs a bright vibrancy, showing flavors of tart cranberry, crushed black pepper, clove, more sagebrush and juniper. This is action-packed but lightly framed.",,90,30.0,California,Monterey,Central Coast,Matt Kettmann,@mattkettmann,Darcie Kent Vineyards 2012 Pinot Noir (Monterey),Pinot Noir,Darcie Kent Vineyards
44346,US,"Very fine and high-toned, a Cabernet that shows real class and pedigree. Entirely drinkable now for its soft, lush tannins and elaborately detailed blackberry, black cherry, anise, carob and cedar flavors that last long through a spicy finish. Should age well through 2015.",Reserve,93,56.0,California,Napa Valley,Napa,,,Summers 2006 Reserve Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Summers
85869,US,"All estate-grown Malbec, this pale salmon-colored wine shows high-toned notes of spice, herbs and cherry. It drinks dry with lightly styled fruit flavors, with the concentration a bit wanting.",,87,20.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Gordon Estate 2014 Malbec (Columbia Valley (WA)),Malbec,Gordon Estate
74234,France,"This wine is rich, smooth, perfumed and opulent. It shows the power of Malbec without completely losing its elegance. With generous black fruits that are round and dense, it's almost sweet in its ripeness. Conveying a dark, brooding character, this is a wine for serious aging, wait until 2018.",Cuvée Réserve de l'Aïeul,93,30.0,Southwest France,Cahors,,Roger Voss,@vossroger,Château Eugénie 2011 Cuvée Réserve de l'Aïeul Malbec-Tannat (Cahors),Malbec-Tannat,Château Eugénie
12423,France,"This is a yeasty offering that's full on the palate, with a rich mousse. Yellow and white fruits contribute to its richness, a touch of bitterness balanced with the fruity acidity. Drink now, or age for a year.",Brut,87,20.0,Alsace,Crémant d'Alsace,,Roger Voss,@vossroger,Wunsch & Mann 2009 Brut Sparkling (Crémant d'Alsace),Sparkling Blend,Wunsch & Mann
119488,France,"The warmth of the year brings out rich fruits as well as the cool structure of a wine from the Hautes Côtes in the hills behind Beaune. There is acidity, of course, coupled with red berries and an underlying ripeness.",Château de Mercey,86,22.0,Burgundy,Bourgogne Hautes Côtes de Beaune,,Roger Voss,@vossroger,Antonin Rodet 2010 Château de Mercey  (Bourgogne Hautes Côtes de Beaune),Pinot Noir,Antonin Rodet
60982,Spain,"Clean, simple and fresh on the nose, this is showing aromas of lime and apple cider. The palate is creamy and melony more than sharp and acidic, with leesy pear and apple flavors that finish short but bright. Drink now.",Arindo,87,11.0,Northern Spain,Rueda,,Michael Schachner,@wineschach,Shaya 2013 Arindo Verdejo (Rueda),Verdejo,Shaya
30874,Spain,"Grassy on the nose, then foamy and abrasive on the tongue, with a mix of oxidized flavors, bitter citrus and grassy accents. It finishes pithy tasting and citrusy.",Brut,82,10.0,Catalonia,Cava,,Michael Schachner,@wineschach,Conde de Caralt NV Brut Sparkling (Cava),Sparkling Blend,Conde de Caralt
94933,Portugal,"Aged for six months in wood, this juicy wine with its red-berry fruits is stylish and full bodied. It has tannins that act as a support to the bold fruits and firm structure. That suggests the wine, although ready to drink now, will also age. Drink now or keep until 2018.",Capitão Rayeo Reserva,88,14.0,Alentejano,,,Roger Voss,@vossroger,Wines & Winemakers 2015 Capitão Rayeo Reserva Red (Alentejano),Portuguese Red,Wines & Winemakers
25176,US,"This rich wine smells sweet and tastes jammy, as strawberry and boysenberry flood the palate. Full body and a smoothly dense texture complete the picture.",Estate,88,26.0,California,Sierra Foothills,Sierra Foothills,Jim Gordon,@gordone_cellars,Naggiar 2014 Estate Cabernet Sauvignon (Sierra Foothills),Cabernet Sauvignon,Naggiar
106089,France,"The wine seems lean, austere and minerally in character. It has stalky black-currant fruits, firm tannins and forward acids. It should age over 2–3 years, but it will always be on the severe side.",,85,30.0,Bordeaux,Graves,,Roger Voss,@vossroger,Château de Janicon 2010  Graves,Bordeaux-style Red Blend,Château de Janicon
96867,France,"A pure, clean mineral-driven Champagne. It's very crisp, with a chalky texture, flavors of green apples and tight acidity. It's one of those Champagnes that needs time in the glass, because as it opens the flavors become more complex, bringing out yellow fruits as well as the underlying citrus.",Extra Blanc de Blancs Brut,91,65.0,Champagne,Champagne,,Roger Voss,@vossroger,Jean-Noël Haton 2005 Extra Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Jean-Noël Haton
235,US,"Overly sweet and simple, and something of a disappointment given the winery's past performance, this Syrah tastes like melted cherry jam, stirred with chocolate pie filling and sprinkled with fennel and pepper.",Thompson Vineyard,85,49.0,California,Santa Barbara County,Central Coast,,,Testarossa 2006 Thompson Vineyard Syrah (Santa Barbara County),Syrah,Testarossa
7534,Italy,"A great deal from Tuscany, this bright Sangiovese-based wine offers playful aromas of cassis, cherry and wild berry with red rose and a touch of toasted almond.",Il Morino,87,10.0,Tuscany,Toscana,,,,Vignamaggio 2008 Il Morino Sangiovese (Toscana),Sangiovese,Vignamaggio
116555,US,"A self-described “irreverent blend” of Pinot Noir (70%) and Syrah (30%), Rubeo manages to capture both the finesse of the former and the power of the latter. Pinot is rarely blended in a still wine, but Lynn Penner-Ash pulls it off in in this selection, showing pretty strawberry and raspberry fruit, dusted with cinnamon, coffee and toast.",Rubeo,88,24.0,Oregon,Oregon,Oregon Other,Paul Gregutt,@paulgwine ,Penner-Ash 2013 Rubeo Pinot Noir-Syrah (Oregon),Pinot Noir-Syrah,Penner-Ash
66072,France,"Citrus fruits shine in this wine that offers attractive acidity along with lemon and crisp apple flavors. Bright, fruity and ready to drink soon, the wine has a nervy texture that will be delicious. Drink from 2017.",,87,32.0,Burgundy,Rully,,Roger Voss,@vossroger,Henri de Villamont 2014  Rully,Chardonnay,Henri de Villamont
56565,US,"This has an extraordinarily-high level of residual sugar, giving it a very sweet, honeyed taste. The flavors are of pure golden apricots, with accents of tangerines, buttered toast and vanilla cream. While it's not overly complex, it offers plenty of rich pleasure.",Trust Winery Limited,88,65.0,California,Mendocino Ridge,,,,Stephen & Walker 2010 Trust Winery Limited Chardonnay (Mendocino Ridge),Chardonnay,Stephen & Walker
68206,France,"This blend of four varieties boasts notes of almond skin, orange zest and honeydew melon in a full-bodied, slightly warm wine. The long finish shows ample concentration and a hint of bitterness.",Cuvée Réservée,90,74.0,Rhône Valley,Châteauneuf-du-Pape,,Joe Czerwinski,@JoeCz,Domaine du Pegau 2013 Cuvée Réservée White (Châteauneuf-du-Pape),Rhône-style White Blend,Domaine du Pegau
90143,Portugal,"This is a beautifully ripe, tangy wine with fine acidity and hints of spice. Lemon and crisp green apple notes shine through the still tight, mineral texture. The concentration of the fruit suggests it will age well. Drink from 2018.",Reserva Branco,89,50.0,Douro,,,Roger Voss,@vossroger,Quinta do Vallado 2015 Reserva Branco White (Douro),Portuguese White,Quinta do Vallado
65505,US,"This big, tannic, compelling wine needs aging and/or a robust dish like roast beef or grilled lamb chops to show its best stuff. It has a deep smoky red color, intense aromas of wood smoke, black pepper and Worcestershire sauce, with flavors of black cherry, cinnamon, clove and cassis.",Alder Springs Vineyard,91,200.0,California,Mendocino County,,Jim Gordon,@gordone_cellars,Y Rousseau 2011 Alder Springs Vineyard Tannat (Mendocino County),Tannat,Y Rousseau
107458,US,"There's a very appealing sense of hickory smoke to this wine, which comes from a block planted in 1973 on this historic vineyard. Red cherry, mulberry, sweet sage and cola also play into the nose. Rich sandalwood flavors show on the palate, as does cedar, thyme, smoke and tart berry elements.",Bien Nacido Vineyard Block Q Old Vine,94,60.0,California,Santa Maria Valley,Central Coast,Matt Kettmann,@mattkettmann,Scar of the Sea 2014 Bien Nacido Vineyard Block Q Old Vine Pinot Noir (Santa Maria Valley),Pinot Noir,Scar of the Sea
111701,US,"This blend of 60% Sangiovese and 40% Cabernet Sauvignon is aged in oak for 40 months, which contributes dark, woody spice to the nose, enhancing the fresh-pressed elderberry and crushed lava-rock aromas. The sip is soft at first before the tannins tighten around the dark flavors, and the acidity is powerfully fresh. Give it a tad more time for all components to marry. Drink 2019–2028.",Estate Riserva,91,52.0,California,Templeton Gap District,Central Coast,Matt Kettmann,@mattkettmann,Bella Luna 2013 Estate Riserva Sangiovese Cabernet (Templeton Gap District),Sangiovese Cabernet,Bella Luna
14168,Israel,"Underipe nectarine, lemon pith and a touch of freshly dried grass start off the bouquet of this Chardonnay. The medium-weight palate transitions into ripe flavors of melon and pear flesh that carry through to the slightly flabby finish.",Liza,86,,Galilee,,,Lauren Buzzeo,@laurbuzz,Alexander 2011 Liza Chardonnay (Galilee),Chardonnay,Alexander
52101,US,This Cabernet Sauvignon-Syrah blend from the Warner Springs area in the mountains northeast of San Diego shows grape soda and blackberry chews on the juicy nose. The palate gains tartness accented by black pepper and crushed oregano.,The Deep Six,88,30.0,California,South Coast,South Coast,Matt Kettmann,@mattkettmann,Hawk Watch Winery 2011 The Deep Six Cabernet Sauvignon-Syrah (South Coast),Cabernet Sauvignon-Syrah,Hawk Watch Winery
80365,Spain,"Gritty aromas of grilled meat, rubber and baked plum lead to a candied tasting, syrupy feeling palate that's sweet in flavor and mildly oaky. This results in a rich finish that's sticky, a bit hot and ripe.",Vilata Old Vines,84,10.0,Levante,Jumilla,,Michael Schachner,@wineschach,Lo Nuevo 2011 Vilata Old Vines Monastrell-Syrah (Jumilla),Monastrell-Syrah,Lo Nuevo
16942,US,"Lots of ripe tropical fruit and peach flavors in this Chard, along with oak notes of buttered toast. You'll also find mouthwatering acidity and a creamy, leesy finish.",Soberanes Vineyard,86,40.0,California,Santa Lucia Highlands,Central Coast,,,Bernardus 2012 Soberanes Vineyard Chardonnay (Santa Lucia Highlands),Chardonnay,Bernardus
82082,US,"Blackberry and clove aromas are elevated by a hint of lavender on the nose. These notes carry through to the palate as well, along with a grape soda flavor. Smooth tannins and ample acidity struggles to match the larger body. A hollow midpalate leads to a tart fruit finish.",Estate Reserve,86,50.0,Virginia,Monticello,,Carrie Dykes,,Keswick Vineyards 2014 Estate Reserve Cabernet Franc (Monticello),Cabernet Franc,Keswick Vineyards
39417,US,"A touch of campfire smoke invites the nose into this bottling from a historic vineyard. It also offers aromas of dark cranberry, black raspberry, chipped slate and roasting meat. The cran-raspberry element explodes on the generous palate, backed by that familiar smoke, which is laced throughout this wine.",Sierra Madre Vineyard,92,64.0,California,Santa Maria Valley,Central Coast,Matt Kettmann,@mattkettmann,Testarossa 2014 Sierra Madre Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Testarossa
53342,Georgia,"Notes of rose and waxy flower mingle with savory nut and nut skin on this traditionally-made Georgian wine. Long maceration on the skins in clay vessels gives it a deep, golden hue, and a concentrated palate, with flavors of tangerine, crushed stone and a bristle of grape-skin astringency.",Satrapezo 10 Qvevri,87,30.0,Kakheti,,,Anna Lee C. Iijima,,Telavi 2009 Satrapezo 10 Qvevri Rkatsiteli (Kakheti),Rkatsiteli,Telavi
80124,US,"This blend of Mourvèdre, Grenache and Syrah is soft, simple and a little sweet. It has jellied flavors of blackberries, cherries, black raspberries and anise.",Gypsy,83,25.0,California,Santa Barbara County,Central Coast,,,Epiphany 2005 Gypsy Red (Santa Barbara County),Red Blend,Epiphany
112723,US,"A simple, oaky Chardonnay, made in the popular style but ultimately cloying. The vanilla, buttered popcorn and caramel flavors cover pineapple and orange jam fruit.",Peters Vineyard,84,28.0,California,Russian River Valley,Sonoma,,,Kokomo 2009 Peters Vineyard Chardonnay (Russian River Valley),Chardonnay,Kokomo
52696,US,"Whiffs of potpourri florals, orange rind and pressed pears lend a musky tone to this deep golden Gewürztraminer. Soft acidity accentuates its robust body and texture. Bold alcohol lends a sizzle of heat to the finish.",,86,18.0,New York,Seneca Lake,Finger Lakes,Anna Lee C. Iijima,,Hector Wine Company 2014 Gewürztraminer (Seneca Lake),Gewürztraminer,Hector Wine Company
